13489	[15422]
13495	[247, 4320]
13498	[18082]
13499	[13544]
13502	[13307, 12270, 10422]
13504	[3081]
13507	[8716, 7511]
13508	[18187, 13317]
13515	[5539, 8016]
13522	[12671, 10158, 7367, 5093]
13523	[13575]
13524	[13544, 11847, 9278]
13526	[13470]
13527	[13641]
13529	[13148, 13152, 11347]
13531	[12397, 16441, 9624]
13538	[2462]
13540	[16597, 11103]
13544	[8518, 12671]
13545	[5318, 11763]
13549	[16173, 13738, 13454]
13550	[13695, 11976]
13551	[15502]
13552	[12397, 17549, 13531, 5185]
13554	[10975, 11669]
13555	[8212, 7832]
13557	[16895, 4743, 3469]
13560	[14153, 13710]
13562	[9019]
13566	[35]
13567	[5904, 8215, 5818]
13568	[12216]
13570	[5081]
13572	[1462]
13573	[17783, 17324, 6934, 13454, 5769, 12649, 5107]
13577	[13555]
13580	[17857, 16576, 4247]
13593	[17629, 16038, 9305]
13595	[13572]
13600	[16353, 4354]
13604	[17820, 15843, 11337]
13605	[1794]
13612	[94]
13613	[5111]
13617	[14175, 12284, 10303]
13619	[7339]
13620	[12451]
13627	[12487, 7721, 14326]
13631	[2841, 9133]
13642	[5991]
13643	[6503, 13487]
13644	[3172]
13646	[8339]
13647	[7916]
13657	[7634]
13660	[13371, 11596]
13662	[13572]
13668	[16606, 13349, 6126, 12911, 7877]
13669	[13434, 1963]
13671	[16905, 2637]
13689	[9270]
13692	[13738]
13694	[3291, 3548]
13697	[6460]
13699	[9392]
13706	[15616, 17378, 16570, 14090, 12340]
13709	[13619, 7707, 1909]
13710	[14153, 13994, 13560]
13725	[15590]
13726	[16535, 16493]
13732	[15589, 12271]
13735	[16542, 4663]
13738	[4683]
13739	[16855, 16570, 12340, 8546]
13741	[6488]
13747	[4409]
13750	[6622, 9890, 13944]
13751	[11557]
13755	[10529, 10549]
13756	[3581]
13762	[13886, 13887]
13767	[10019]
13771	[5638, 3497]
13772	[18198, 4683, 12042]
13776	[11929]
13777	[5322]
13793	[7940]
13794	[35]
13797	[17137]
13799	[12216, 16684]
13800	[18288, 11929]
13806	[13793, 10830, 8251]
13820	[13596]
13824	[9425, 3925]
13826	[11528]
13832	[14096, 2037]
13836	[13531, 7362, 6581, 4666]
13837	[17883, 13460]
13838	[11816]
13845	[16810, 13523, 2234, 2192]
13847	[3403]
13850	[16848, 16131, 10555]
13852	[11293]
13854	[12161]
13858	[2192]
13862	[16803]
13865	[9439]
13866	[7137, 4574]
13867	[18104, 6953]
13870	[5970]
13873	[6443]
13885	[15497, 3006]
13886	[13762]
13887	[13762, 10492]
13891	[15778]
13893	[11924, 10797, 8605]
13895	[16515, 2524, 12671, 7434]
13901	[3483, 15759, 13560]
13903	[13867, 12448, 10164]
13907	[9638]
13908	[7127]
13910	[17004, 13573, 5769]
13917	[11438]
13921	[15796]
13925	[6069]
13926	[18098, 6571]
13934	[9105]
13944	[2612]
13947	[17403, 15676, 13988, 11825, 11328]
13948	[10247]
13952	[6573]
13953	[16854]
13954	[15715, 12357]
13957	[4683, 13572, 5769, 3953]
13959	[14153]
13966	[5769, 12418, 7949]
13968	[12053, 9502, 3403]
13970	[13595, 8196]
13973	[16294, 15525, 10579]
13974	[13973, 10579]
13975	[13692, 13573, 13454, 5769]
13977	[11617]
13978	[2526]
13982	[12759]
13983	[9152]
13986	[11381, 5511]
13988	[15676, 11825, 6144, 11328]
13994	[14153, 13710]
13999	[8327]
14001	[14335, 11513, 11442, 7739]
14003	[6426]
14013	[9914, 8240]
14020	[9141, 10540, 10958, 8126]
14023	[17439]
14032	[14041, 4167]
14041	[14032, 10472]
14047	[5502]
14055	[14162, 12759, 12927, 11987]
14056	[7715]
14059	[13460]
14061	[15645]
14072	[16916, 10329]
14073	[17094, 12247, 10303, 8348]
14076	[12801]
14078	[16854, 9270, 5427, 4343]
14081	[8168]
14085	[13246, 8326]
14090	[17378, 2]
14096	[13832, 2037]
14098	[16608, 12974, 4700]
14102	[12810]
14103	[13604, 12171]
14112	[1742, 17002, 3172, 13434]
14119	[7573, 15932, 11208, 5258, 1897]
14121	[17547]
14126	[17619]
14132	[13619, 13119]
14135	[9392, 7646]
14137	[14191]
14145	[17513, 5246, 3774]
14147	[5370]
14150	[12499]
14151	[4760]
14153	[16695, 13994, 13560]
14159	[15761, 10549]
14165	[8259, 6167, 4849]
14172	[17568]
14174	[12523, 8929]
14175	[18017, 4456, 13617, 11845, 11078]
14178	[16176]
14184	[1716]
14191	[15372, 14137, 13968]
14193	[6827]
14205	[16542]
14206	[14211]
14207	[17310]
14210	[15588]
14211	[10380]
14212	[14296, 7705]
14218	[15683]
14219	[15621, 17216, 15712, 14326, 6571]
14223	[13392]
14224	[13261, 1824]
14225	[17868, 14147, 11760, 5370]
14230	[17975, 11760]
14243	[1970, 3490]
14246	[10150, 2528]
14248	[3469, 13557, 12759, 11987]
14250	[11328]
14254	[15965, 16328, 4851]
14258	[17588]
14263	[9392]
14267	[5452]
14280	[15621, 6753]
14284	[14296, 14212, 12135, 7638, 10591, 10492]
14290	[3065]
14293	[16463]
14296	[15666, 14212, 12135, 10492, 8605]
14299	[17439, 15562]
14303	[5960, 7646]
14305	[15468, 13376, 8844, 2514, 7352, 6728]
14310	[4700]
14321	[18288, 10529, 4740]
14322	[12194]
14325	[4084, 5408]
14326	[17216, 14219]
14329	[16926, 12366, 7949, 6526]
14332	[12226, 5454]
14333	[15737, 2973, 8427]
14335	[8215]
14338	[10322]
14341	[9786]
14342	[12024]
14345	[15866]
14346	[16550, 5814]
14353	[6205]
14354	[9442]
14355	[11609, 2980, 9152, 5810]
14357	[10948]
14358	[5656, 1432]
14359	[17160, 3802]
14363	[13161, 4750, 6728]
15366	[13695, 15546, 10775]
15368	[14351]
15370	[17868]
15371	[9030]
15374	[17764, 5462]
15375	[6083]
15379	[12270]
15389	[15715]
